,Site,Petri,Dateof,PetriDish,PaperFilter,PetriPlus,PetriDishPlus,PetridishPlus,FilterAndsample,SampleWeight,SampleWeight.1,Vol,Vol.1,mgL,mgL.1,Con,Temp,Level,pH,Date,,,
142,WDEV,3897,"Nov.18,2003",1.0073,0.1038,1.1111,1.1104,1.1099,0.1026,-0.7,-1.2,1000,,,,NA,NA,NA,NA,11/18/2003,,,
143,Q. Guabá-A,3895,"Nov.18,2003",1.0175,0.1041,1.1216,1.1447,1.1411,0.1236,23.1,19.5,200,,,,NA,NA,NA,NA,11/18/2003,,,
144,Blank,3898,"Nov.25,2003",1.0087,0.1047,1.1134,1.1128,1.1125,0.1038,-0.6,-0.9,500,,,,NA,NA,NA,NA,11/25/2003,,,
145,MQ1,3899,"Nov.25,2003",1.0141,0.1052,1.1193,1.1253,1.1238,0.1097,6,4.5,700,,,,NA,NA,NA,NA,11/25/2003,,,
146,MQ2,3900,"Nov.25,2003",1.0093,0.1059,1.1152,1.1201,1.1191,0.1098,4.9,3.9,700,,,,NA,NA,NA,NA,11/25/2003,,,
147,MQ3,3901,"Nov.25,2003",1.0047,0.1061,1.1108,1.112,1.1114,0.1067,1.2,0.6,740,,,,NA,NA,NA,NA,11/25/2003,,,
148,RCB,3902,"Nov.25,2003",1.0111,0.104,1.1151,1.1146,1.114,0.1029,-0.5,-1.1,760,,,,NA,NA,NA,NA,11/25/2003,,,
149,TCB,3903,"Nov.25,2003",1.0115,0.1052,1.1167,1.1222,1.1169,0.1054,5.5,0.2,400,,,,NA,NA,NA,NA,11/25/2003,,,
150,MPR,3904,"Nov.25,2003",1.0116,0.106,1.1176,1.1196,1.1188,0.1072,2,1.2,1000,,,,NA,NA,NA,NA,11/25/2003,,,
151,MG,3905,"Nov.25,2003",1.0061,0.1056,1.1117,1.1179,1.1167,0.1106,6.2,5,570,,,,NA,NA,NA,NA,11/25/2003,,,
152,RS,3906,"Nov.25,2003",1.0109,0.1051,1.116,1.1118,1.1106,0.0997,-4.2,-5.4,440,,,,NA,NA,NA,NA,11/25/2003,,,
153,Q. Sonadora,3907,"Nov.25,2003",1.0113,0.1046,1.1159,1.1173,1.1165,0.1052,1.4,0.6,1000,,,,NA,NA,NA,NA,11/25/2003,,,
154,Q. Prieta,3908,"Nov.25,2003",1.0072,0.1053,1.1125,1.1155,1.1146,0.1074,3,2.1,790,,,,NA,NA,NA,NA,11/25/2003,,,
155,Q. T1,3909,"Nov.25,2003",1.0043,0.1045,1.1088,1.1181,1.1168,0.1125,9.3,8,750,,,,NA,NA,NA,NA,11/25/2003,,,
156,Q. Guabá,,,,,0,,,0,0,0,,,,,NA,NA,NA,NA,NA,,,
157,Q. Icacos,,,,,0,,,0,0,0,,,,,NA,NA,NA,NA,NA,,,
158,RES4,3910,"Nov.25,2003",1.0094,0.1052,1.1146,1.1215,1.12,0.1106,6.9,5.4,720,,,,NA,NA,NA,NA,11/25/2003,,,
159,RCEV,3911,"Nov.25,2003",1.0119,0.1045,1.1164,1.1162,1.1158,0.1039,-0.2,-0.6,1050,,,,NA,NA,NA,NA,11/25/2003,,,
160,WDEV,3912,"Nov.25,2003",1.0139,0.1039,1.1178,1.117,1.1175,0.1036,-0.8,-0.3,1000,,,,NA,NA,NA,NA,11/25/2003,,,
161,Blank,3913,"Dec.2,2003",1.0094,0.1054,1.1148,1.1139,1.1145,0.1051,-0.9,-0.3,440,,,,NA,NA,NA,NA,12/2/2003,,,
162,MQ1,3914,"Dec.2,2003",1.0089,0.1041,1.113,1.1201,1.1196,0.1107,7.1,6.6,700,,,,NA,NA,NA,NA,12/2/2003,,,
163,MQ2,3915,"Dec.2,2003",1.0088,0.1061,1.1149,1.1211,1.1199,0.1111,6.2,5,700,,,,NA,NA,NA,NA,12/2/2003,,,
164,MQ3,3916,"Dec.2,2003",1.0095,0.1049,1.1144,1.1197,1.1188,0.1093,5.3,4.4,1000,,,,NA,NA,NA,NA,12/2/2003,,,
165,RCB,3917,"Dec.2,2003",1.0078,0.1052,1.113,1.1129,1.1128,0.105,-0.1,-0.2,580,,,,NA,NA,NA,NA,12/2/2003,,,
166,TCB,3918,"Dec.2,2003",1.0055,0.1049,1.1104,1.1161,1.11,0.1045,5.7,-0.4,560,,,,NA,NA,NA,NA,12/2/2003,,,
167,MPR,3919,"Dec.2,2003",1.0117,0.1047,1.1164,1.1173,1.1168,0.1051,0.9,0.4,1000,,,,NA,NA,NA,NA,12/2/2003,,,
168,MG,3920,"Dec.2,2003",1.0133,0.1027,1.116,1.115,1.1139,0.1006,-1,-2.1,750,,,,NA,NA,NA,NA,12/2/2003,,,
169,RS,3921,"Dec.2,2003",1.0117,0.1024,1.1141,1.1184,1.1173,0.1056,4.3,3.2,990,,,,NA,NA,NA,NA,12/2/2003,,,
170,Q. Sonadora,3922,"Dec.2,2003",1.0068,0.1035,1.1103,1.1106,1.1099,0.1031,0.3,-0.4,1000,,,,NA,NA,NA,NA,12/2/2003,,,
171,Q. Prieta,3923,"Dec.2,2003",1.0087,0.1032,1.1119,1.1144,1.1135,0.1048,2.5,1.6,740,,,,NA,NA,NA,NA,12/2/2003,,,
172,Q. T1,3924,"Dec.2,2003",1.007,0.1022,1.1092,1.1154,1.1141,0.1071,6.2,4.9,750,,,,NA,NA,NA,NA,12/2/2003,,,
173,Q. Guabá,3925,"Dec.2,2003",1.0034,0.1034,1.1068,1.1107,1.1102,0.1068,3.9,3.4,820,,,,NA,NA,NA,NA,12/2/2003,,,
174,Q. Icacos,3926,"Dec.2,2003",1.0049,0.1025,1.1074,1.1101,1.1095,0.1046,2.7,2.1,650,,,,NA,NA,NA,NA,12/2/2003,,,
175,RES4,3927,"Dec.2,2003",1.0115,0.1044,1.1159,1.1185,1.1177,0.1062,2.6,1.8,700,,,,NA,NA,NA,NA,12/2/2003,,,
176,RCEV,3928,"Dec.2,2003",1.011,0.1017,1.1127,1.1152,1.1147,0.1037,2.5,2,550,,,,NA,NA,NA,NA,12/2/2003,,,
177,WDEV,3930,"Dec.2,2003",1.0098,0.1061,1.1159,1.1151,1.1149,0.1051,-0.8,-1,630,,,,NA,NA,NA,NA,12/2/2003,,,
178,Blank,3931,"Dec.9,2003",1.0099,0.1045,1.1144,1.1135,1.1136,0.1037,-0.9,-0.8,450,,,,NA,NA,NA,NA,12/9/2003,,,
179,MQ1,3929,"Dec.9,2003",1.0144,0.1067,1.1211,1.1284,1.1273,0.1129,7.3,6.2,350,,,,NA,NA,NA,NA,12/9/2003,,,
180,MQ2,3932,"Dec.9,2003",1.0114,0.105,1.1164,1.1214,1.1198,0.1084,5,3.4,750,,,,NA,NA,NA,NA,12/9/2003,,,
181,MQ3,3933,"Dec.9,2003",1.0075,0.1057,1.1132,1.114,1.114,0.1065,0.8,0.8,730,,,,NA,NA,NA,NA,12/9/2003,,,
182,RCB,3936,"Dec.9,2003",1.0109,0.1051,1.116,1.1156,1.1145,0.1036,-0.4,-1.5,640,,,,NA,NA,NA,NA,12/9/2003,,,
183,TCB,3937,"Dec.9,2003",1.0123,0.1045,1.1168,1.1307,1.1186,0.1063,13.9,1.8,580,,,,NA,NA,NA,NA,12/9/2003,,,
184,MPR,3938,"Dec.9,2003",1.0137,0.1053,1.119,1.1195,1.1186,0.1049,0.5,-0.4,950,,,,NA,NA,NA,NA,12/9/2003,,,
185,MG,3939,"Dec.9,2003",1.0106,0.1036,1.1142,1.1184,1.1173,0.1067,4.2,3.1,700,,,,NA,NA,NA,NA,12/9/2003,,,
186,RS,3940,"Dec.9,2003",1.0083,0.1058,1.1141,1.1172,1.1155,0.1072,3.1,1.4,750,,,,NA,NA,NA,NA,12/9/2003,,,
187,Q. Sonadora,3941,"Dec.9,2003",1.0045,0.104,1.1085,1.1092,1.1083,0.1038,0.7,-0.2,700,,,,NA,NA,NA,NA,12/9/2003,,,
188,Q. Prieta,3942,"Dec.9,2003",1.004,0.1063,1.1103,1.1133,1.1121,0.1081,3,1.8,1000,,,,NA,NA,NA,NA,12/9/2003,,,
189,Q. T1,3943,"Dec.9,2003",1.0059,0.1039,1.1098,1.1353,1.1312,0.1253,25.5,21.4,650,,,,NA,NA,NA,NA,12/9/2003,,,
190,Q. Guabá,3944,"Dec.9,2003",1.0093,0.1045,1.1138,1.1316,1.1286,0.1193,17.8,14.8,550,,,,NA,NA,NA,NA,12/9/2003,,,
191,Q. Icacos,3945,"Dec.9,2003",1.0084,0.1054,1.1138,1.123,1.1213,0.1129,9.2,7.5,640,,,,NA,NA,NA,NA,12/9/2003,,,
192,RES4,3946,"Dec.9,2003",1.0131,0.1056,1.1187,1.1238,1.1224,0.1093,5.1,3.7,660,,,,NA,NA,NA,NA,12/9/2003,,,
193,RCEV,3947,"Dec.9,2003",1.0128,0.1048,1.1176,1.1187,1.1181,0.1053,1.1,0.5,750,,,,NA,NA,NA,NA,12/9/2003,,,
194,WDEV,3948,"Dec.9,2003",1.0102,0.105,1.1152,1.115,1.1145,0.1043,-0.2,-0.7,1050,,,,NA,NA,NA,NA,12/9/2003,,,
195,Blank,3949,"Dec.16,2003",1.0119,0.1041,1.116,1.1156,1.1151,0.1032,-0.4,-0.9,350,,,,NA,NA,NA,NA,12/16/2003,,,
196,MQ1,3950,"Dec.16,2003",1.0106,0.1046,1.1152,1.1272,1.126,0.1154,12,10.8,700,,,,NA,NA,NA,NA,12/16/2003,,,
197,MQ2,3951,"Dec.16,2003",1.01,0.1058,1.1158,1.1213,1.1193,0.1093,5.5,3.5,500,,,,NA,NA,NA,NA,12/16/2003,,,
198,MQ3,3952,"Dec.16,2003",1.011,0.107,1.118,1.1228,1.1216,0.1106,4.8,3.6,1000,,,,NA,NA,NA,NA,12/16/2003,,,
199,RCB,3953,"Dec.16,2003",1.0133,0.1037,1.117,1.117,1.1158,0.1025,0,-1.2,1000,,,,NA,NA,NA,NA,12/16/2003,,,
200,TCB,3954,"Dec.16,2003",1.0145,0.1043,1.1188,1.1199,1.1184,0.1039,1.1,-0.4,750,,,,NA,NA,NA,NA,12/16/2003,,,
201,MPR,3955,"Dec.16,2003",1.016,0.1045,1.1205,1.1219,1.1215,0.1055,1.4,1,1000,,,,NA,NA,NA,NA,12/16/2003,,,
202,MG,3956,"Dec.16,2003",1.0128,0.105,1.1178,1.121,1.1199,0.1071,3.2,2.1,1000,,,,NA,NA,NA,NA,12/16/2003,,,
203,RS,3957,"Dec.16,2003",1.0093,0.1046,1.1139,1.117,1.1163,0.107,3.1,2.4,780,,,,NA,NA,NA,NA,12/16/2003,,,
204,Q. Sonadora,3958,"Dec.16,2003",1.0097,0.1069,1.1166,1.1172,1.117,0.1073,0.6,0.4,1100,,,,NA,NA,NA,NA,12/16/2003,,,
205,Q. Prieta,3959,"Dec.16,2003",1.0106,0.1065,1.1171,1.1198,1.1193,0.1087,2.7,2.2,780,,,,NA,NA,NA,NA,12/16/2003,,,
206,Q. T1,3960,"Dec.16,2003",1.0105,0.1065,1.117,1.125,1.1234,0.1129,8,6.4,750,,,,NA,NA,NA,NA,12/16/2003,,,
207,Q. Guabá,3961,"Dec.16,2003",1.0131,0.1059,1.119,1.1318,1.1296,0.1165,12.8,10.6,740,,,,NA,NA,NA,NA,12/16/2003,,,
208,Q. Icacos,3962,"Dec.16,2003",1.0113,0.1058,1.1171,1.1202,1.1191,0.1078,3.1,2,740,,,,NA,NA,NA,NA,12/16/2003,,,
209,RES4,3963,"Dec.16,2003",1.0172,0.1048,1.122,1.1237,1.1231,0.1059,1.7,1.1,950,,,,NA,NA,NA,NA,12/16/2003,,,
210,RCEV,3964,"Dec.16,2003",1.0175,0.1064,1.1239,1.1238,1.1238,0.1063,-0.1,-0.1,1000,,,,NA,NA,NA,NA,12/16/2003,,,
211,WDEV,3965,"Dec.16,2003",1.0122,0.1057,1.1179,1.1174,1.1176,0.1054,-0.5,-0.3,1000,,,,NA,NA,NA,NA,12/16/2003,,,
212,Blank,3966,"Dec.23,2003",1.0122,0.1042,1.1164,1.1157,1.1153,0.1031,-0.7,-1.1,450,,,,NA,NA,NA,NA,12/23/2003,,,
213,MQ1,3967,"Dec.23,2003",1.0116,0.1068,1.1184,1.1212,1.1212,0.1096,2.8,2.8,600,,,,NA,NA,NA,NA,12/23/2003,,,
214,MQ2,3968,"Dec.23,2003",1.011,0.1063,1.1173,1.1199,1.1189,0.1079,2.6,1.6,750,,,,NA,NA,NA,NA,12/23/2003,,,
215,MQ3,3969,"Dec.23,2003",1.0107,0.1053,1.116,1.1167,1.1159,0.1052,0.7,-0.1,730,,,,NA,NA,NA,NA,12/23/2003,,,
216,RCB,3971,"Dec.23,2003",1.0096,0.1038,1.1134,1.1134,1.1119,0.1023,0,-1.5,350,,,,NA,NA,NA,NA,12/23/2003,,,
217,TCB,3970,"Dec.23,2003",1.0128,0.1049,1.1177,1.1671,1.1205,0.1077,49.4,2.8,360,,,,NA,NA,NA,NA,12/23/2003,,,
218,MPR,3972,"Dec.23,2003",1.0123,0.1072,1.1195,1.119,1.1182,0.1059,-0.5,-1.3,420,,,,NA,NA,NA,NA,12/23/2003,,,
219,MG,3973,"Dec.23,2003",1.0087,0.1054,1.1141,1.1142,1.1132,0.1045,0.1,-0.9,600,,,,NA,NA,NA,NA,12/23/2003,,,
220,RS,3974,"Dec.23,2003",1.0075,0.1037,1.1112,1.1123,1.1113,0.1038,1.1,0.1,680,,,,NA,NA,NA,NA,12/23/2003,,,
221,Q. Sonadora,3975,"Dec.23,2003",1.0089,0.1058,1.1147,1.1152,1.1147,0.1058,0.5,0,720,,,,NA,NA,NA,NA,12/23/2003,,,
222,Q. Prieta,3976,"Dec.23,2003",1.0075,0.1044,1.1119,1.1143,1.1138,0.1063,2.4,1.9,630,,,,NA,NA,NA,NA,12/23/2003,,,
223,Q. T1,3977,"Dec.23,2003",1.0078,0.1052,1.113,1.1242,1.1218,0.114,11.2,8.8,750,,,,NA,NA,NA,NA,12/23/2003,,,
224,Q. Guabá,3978,"Dec.23,2003",1.0101,0.1051,1.1152,1.1364,1.1339,0.1238,21.2,18.7,550,,,,NA,NA,NA,NA,12/23/2003,,,
225,Q. Icacos,3979,"Dec.23,2003",1.0118,0.1047,1.1165,1.1214,1.1203,0.1085,4.9,3.8,750,,,,NA,NA,NA,NA,12/23/2003,,,
226,RES4,3980,"Dec.23,2003",1.0145,0.1065,1.121,1.123,1.1225,0.108,2,1.5,740,,,,NA,NA,NA,NA,12/23/2003,,,
227,RCEV,3981,"Dec.23,2003",1.0097,0.1077,1.1174,1.1176,1.117,0.1073,0.2,-0.4,1000,,,,NA,NA,NA,NA,12/23/2003,,,
228,WDEV,3982,"Dec.23,2003",1.0076,0.1053,1.1129,1.1124,1.1119,0.1043,-0.5,-1,1000,,,,NA,NA,NA,NA,12/23/2003,,,
229,Blank,3966,same as12/23,,,0,,,0,0,0,,,,,NA,NA,NA,NA,NA,,,
230,MQ1,3983,"Dec.30,2003",1.0056,0.1065,1.1121,1.1211,1.1191,0.1135,9,7,750,,,,NA,NA,NA,NA,12/30/2003,,,
231,MQ2,3984,"Dec.30,2003",1.0049,0.1082,1.1131,1.118,1.1167,0.1118,4.9,3.6,730,,,,NA,NA,NA,NA,12/30/2003,,,
232,MQ3,3985,"Dec.30,2003",1.0062,0.1055,1.1117,1.1158,1.115,0.1088,4.1,3.3,1000,,,,NA,NA,NA,NA,12/30/2003,,,
233,RCB,3986,"Dec.30,2003",1.003,0.105,1.108,1.1082,1.1073,0.1043,0.2,-0.7,1000,,,,NA,NA,NA,NA,12/30/2003,,,
234,TCB,3987,"Dec.30,2003",1.0062,0.1068,1.113,1.1585,1.1157,0.1095,45.5,2.7,500,,,,NA,NA,NA,NA,12/30/2003,,,
235,MPR,3988,"Dec.30,2003",1.0057,0.1089,1.1146,1.1152,1.1143,0.1086,0.6,-0.3,750,,,,NA,NA,NA,NA,12/30/2003,,,
236,MG,3989,"Dec.30,2003",1.0062,0.1067,1.1129,1.1146,1.114,0.1078,1.7,1.1,730,,,,NA,NA,NA,NA,12/30/2003,,,
237,RS,3990,"Dec.30,2003",1.0051,0.1076,1.1127,no filter,no filter,no filter,no filter,no filter,720,,,,NA,NA,NA,NA,12/30/2003,,,
238,Q. Sonadora,3991,"Dec.30,2003",1.002,0.1055,1.1075,1.1074,1.1065,0.1045,-0.1,-1,880,,,,NA,NA,NA,NA,12/30/2003,,,
239,Q. Prieta,3992,"Dec.30,2003",1.0047,0.1054,1.1101,1.1135,1.1122,0.1075,3.4,2.1,980,,,,NA,NA,NA,NA,12/30/2003,,,
240,Q. T1,3993,"Dec.30,2003",1.0031,0.107,1.1101,1.1256,1.1229,0.1198,15.5,12.8,750,,,,NA,NA,NA,NA,12/30/2003,,,
241,Q. Guabá,3994,"Dec.30,2003",1.0046,0.1069,1.1115,1.123,1.121,0.1164,11.5,9.5,750,,,,NA,NA,NA,NA,12/30/2003,,,
242,Q. Icacos,3995,"Dec.30,2003",1.0095,0.1072,1.1167,1.1208,1.1195,0.11,4.1,2.8,1000,,,,NA,NA,NA,NA,12/30/2003,,,
243,RES4,3996,"Dec.30,2003",1.0131,0.1055,1.1186,1.1205,1.1196,0.1065,1.9,1,1000,,,,NA,NA,NA,NA,12/30/2003,,,
244,RCEV,3997,"Dec.30,2003",1.0041,0.1061,1.1102,1.1112,1.1095,0.1054,1,-0.7,700,,,,NA,NA,NA,NA,12/30/2003,,,
245,WDEV,3998,"Dec.30,2003",1.0036,0.1089,1.1125,1.1128,1.112,0.1084,0.3,-0.5,1000,,,,NA,NA,NA,NA,12/30/2003,,,
246,Blank,3999,"Jan.7, 2004",1.0092,0.1062,1.1154,1.1147,1.1145,0.1053,-0.7,-0.9,550,0.55,-1.272727273,-1.636363636,NA,NA,NA,NA,1/7/2004,,,
247,MQ1,4000,"Jan.7, 2004",1.0101,0.1056,1.1157,1.121,1.1203,0.1102,5.3,4.6,730,0.73,7.260273973,6.301369863,NA,NA,NA,NA,1/7/2004,,,
248,MQ2,4001,"Jan.7, 2004",1.0074,0.1074,1.1148,1.1168,1.116,0.1086,2,1.2,710,0.71,2.816901408,1.690140845,NA,NA,NA,NA,1/7/2004,,,
249,MQ3,4002,"Jan.7, 2004",1.0085,0.1059,1.1144,1.1154,1.115,0.1065,1,0.6,700,0.7,1.428571429,0.857142857,NA,NA,NA,NA,1/7/2004,,,
250,RCB,4003,"Jan.7, 2004",1.0037,0.106,1.1097,1.1094,1.1088,0.1051,-0.3,-0.9,750,0.75,-0.4,-1.2,NA,NA,NA,NA,1/7/2004,,,
251,TCB,4004,"Jan.7, 2004",1.006,0.1053,1.1113,1.1392,1.1139,0.1079,27.9,2.6,550,0.55,50.72727273,4.727272727,NA,NA,NA,NA,1/7/2004,,,
252,MPR,4005,"Jan.7, 2004",1.0088,0.1055,1.1143,1.1152,1.1148,0.106,0.9,0.5,750,0.75,1.2,0.666666667,NA,NA,NA,NA,1/7/2004,,,
253,MG,4006,"Jan.7, 2004",1.0127,0.1072,1.1199,1.1256,1.1235,0.1108,5.7,3.6,700,0.7,8.142857143,5.142857143,NA,NA,NA,NA,1/7/2004,,,
254,RS,4007,"Jan.7, 2004",1.0135,0.106,1.1195,1.1221,1.1213,0.1078,2.6,1.8,750,0.75,3.466666667,2.4,NA,NA,NA,NA,1/7/2004,,,
255,Q. Sonadora,4008,"Jan.7, 2004",1.0097,0.1079,1.1176,1.1194,1.1184,0.1087,1.8,0.8,1000,1,1.8,0.8,NA,NA,NA,NA,1/7/2004,,,
256,Q. Prieta,4009,"Jan.7, 2004",1.0069,0.1076,1.1145,1.118,1.1167,0.1098,3.5,2.2,650,0.65,5.384615385,3.384615385,NA,NA,NA,NA,1/7/2004,,,
257,Q. T1,4010,"Jan.7, 2004",1.0062,0.1086,1.1148,1.1262,1.1239,0.1177,11.4,9.1,620,0.62,18.38709677,14.67741935,NA,NA,NA,NA,1/7/2004,,,
258,Q. Guabá,4011,"Jan.7, 2004",1.0063,0.1066,1.1129,1.1262,1.1244,0.1181,13.3,11.5,720,0.72,18.47222222,15.97222222,NA,NA,NA,NA,1/7/2004,,,
259,Q. Icacos,4012,"Jan.7, 2004",1.0055,0.1072,1.1127,1.1183,1.117,0.1115,5.6,4.3,710,0.71,7.887323944,6.056338028,NA,NA,NA,NA,1/7/2004,,,
260,RES4,4013,"Jan.7, 2004",1.0049,0.107,1.1119,1.119,1.1178,0.1129,7.1,5.9,720,0.72,9.861111111,8.194444444,NA,NA,NA,NA,1/7/2004,,,
261,RCEV,4014,"Jan.7, 2004",1.0104,0.1064,1.1168,1.1163,1.1159,0.1055,-0.5,-0.9,680,0.68,-0.735294118,-1.323529412,NA,NA,NA,NA,1/7/2004,,,
262,WDEV,4015,"Jan.7, 2004",1.0125,0.1066,1.1191,1.119,1.1186,0.1061,-0.1,-0.5,1000,1,-0.1,-0.5,NA,NA,NA,NA,1/7/2004,,,
263,Blank,4016,"Jan.13, 2004",1.0062,0.1079,1.1141,1.1134,1.1126,0.1064,-0.7,-1.5,550,0.55,-1.272727273,-2.727272727,NA,NA,NA,NA,1/13/2004,,,
264,MQ1,4017,"Jan.13, 2004",1.0049,0.106,1.1109,1.1207,1.1187,0.1138,9.8,7.8,360,0.36,27.22222222,21.66666667,NA,NA,NA,NA,1/13/2004,,,
265,MQ2,4018,"Jan.13, 2004",1.0081,0.1056,1.1137,1.1231,1.1216,0.1135,9.4,7.9,700,0.7,13.42857143,11.28571429,NA,NA,NA,NA,1/13/2004,,,
266,MQ3,4019,"Jan.13, 2004",1.0092,0.1067,1.1159,1.1189,1.1182,0.109,3,2.3,750,0.75,4,3.066666667,NA,NA,NA,NA,1/13/2004,,,
267,RCB,4020,"Jan.13, 2004",1.0069,0.1058,1.1127,1.1125,1.1118,0.1049,-0.2,-0.9,950,0.95,-0.210526316,-0.947368421,NA,NA,NA,NA,1/13/2004,,,
268,TCB,4021,"Jan.13, 2004",1.0066,0.1064,1.113,1.1265,1.1136,0.107,13.5,0.6,350,0.35,38.57142857,1.714285714,NA,NA,NA,NA,1/13/2004,,,
269,MPR,4022,"Jan.13, 2004",1.0092,0.1066,1.1158,1.1167,1.1162,0.107,0.9,0.4,1000,1,0.9,0.4,NA,NA,NA,NA,1/13/2004,,,
270,MG,4023,"Jan.13, 2004",1.0103,0.106,1.1163,1.1206,1.1191,0.1088,4.3,2.8,1000,1,4.3,2.8,NA,NA,NA,NA,1/13/2004,,,
271,RS,4024,"Jan.13, 2004",1.0137,0.1085,1.1222,1.1289,1.1276,0.1139,6.7,5.4,460,0.46,14.56521739,11.73913043,NA,NA,NA,NA,1/13/2004,,,
272,Q. Sonadora,4025,"Jan.13, 2004",1.0102,0.1049,1.1151,1.1156,1.115,0.1048,0.5,-0.1,1000,1,0.5,-0.1,NA,NA,NA,NA,1/13/2004,,,
273,Q. Prieta,4026,"Jan.13, 2004",1.0124,0.1072,1.1196,1.1217,1.1206,0.1082,2.1,1,720,0.72,2.916666667,1.388888889,NA,NA,NA,NA,1/13/2004,,,
274,Q. T1,4027,"Jan.13, 2004",1.0124,0.108,1.1204,1.1301,1.1278,0.1154,9.7,7.4,700,0.7,13.85714286,10.57142857,NA,NA,NA,NA,1/13/2004,,,
275,Q. Guabá,n/s,,,,0,,,0,0,0,,0,#DIV/0!,#DIV/0!,NA,NA,NA,NA,NA,,,
276,Q. Icacos,n/s,,,,0,,,0,0,0,,0,#DIV/0!,#DIV/0!,NA,NA,NA,NA,NA,,,
277,RES4,n/s,,,,0,,,0,0,0,,0,#DIV/0!,#DIV/0!,NA,NA,NA,NA,NA,,,
278,RCEV,4028,"Jan.13, 2004",1.01,0.1061,1.1161,1.1163,1.1151,0.1051,0.2,-1,730,0.73,0.273972603,-1.369863014,NA,NA,NA,NA,1/13/2004,,,
279,WDEV,4029,"Jan.13, 2004",1.0103,0.106,1.1163,1.1164,1.1158,0.1055,0.1,-0.5,1000,1,0.1,-0.5,NA,NA,NA,NA,1/13/2004,,,
280,Blank,4030,"Jan.20, 2004",1.0096,0.1089,1.1185,1.1181,1.1177,0.1081,-0.4,-0.8,350,0.35,-1.142857143,-2.285714286,NA,NA,NA,NA,1/20/2004,,,
281,MQ1,4031,"Jan.20, 2004",1.0123,0.1069,1.1192,1.1283,1.1264,0.1141,9.1,7.2,720,0.72,12.63888889,10,NA,NA,NA,NA,1/20/2004,,,
282,MQ2,4032,"Jan.20, 2004",1.0154,0.1073,1.1227,1.1264,1.1252,0.1098,3.7,2.5,600,0.6,6.166666667,4.166666667,NA,NA,NA,NA,1/20/2004,,,
283,MQ3,4033,"Jan.20, 2004",1.0088,0.1055,1.1143,1.1181,1.1168,0.108,3.8,2.5,1000,1,3.8,2.5,NA,NA,NA,NA,1/20/2004,,,
284,RCB,4034,"Jan.20, 2004",1.0068,0.108,1.1148,1.1143,1.1139,0.1071,-0.5,-0.9,250,0.25,-2,-3.6,NA,NA,NA,NA,1/20/2004,,,
285,TCB,4035,"Jan.20, 2004",1.0065,0.1053,1.1118,1.1288,1.1128,0.1063,17,1,350,0.35,48.57142857,2.857142857,NA,NA,NA,NA,1/20/2004,,,
286,MPR,4036,"Jan.20, 2004",1.0068,0.107,1.1138,1.1141,1.1136,0.1068,0.3,-0.2,1000,1,0.3,-0.2,NA,NA,NA,NA,1/20/2004,,,
287,MG,4037,"Jan.20, 2004",1.0095,0.1086,1.1181,1.1184,1.1176,0.1081,0.3,-0.5,1000,1,0.3,-0.5,NA,NA,NA,NA,1/20/2004,,,
288,RS,4038,"Jan.20, 2004",1.0064,0.109,1.1154,1.1174,1.1164,0.11,2,1,750,0.75,2.666666667,1.333333333,NA,NA,NA,NA,1/20/2004,,,
289,Q. Sonadora,4039,"Jan.20, 2004",1.0082,0.1075,1.1157,1.116,1.1153,0.1071,0.3,-0.4,1000,1,0.3,-0.4,NA,NA,NA,NA,1/20/2004,,,
290,Q. Prieta,4040,"Jan.20, 2004",1.0111,0.108,1.1191,1.1214,1.1204,0.1093,2.3,1.3,900,0.9,2.555555556,1.444444444,NA,NA,NA,NA,1/20/2004,,,
291,Q. T1,4041,"Jan.20, 2004",1.017,0.1056,1.1226,1.1299,1.1279,0.1109,7.3,5.3,780,0.78,9.358974359,6.794871795,NA,NA,NA,NA,1/20/2004,,,
292,Q. Guabá,4042,"Jan.20, 2004",1.0143,0.1064,1.1207,1.171,1.1655,0.1512,50.3,44.8,600,0.6,83.83333333,74.66666667,NA,NA,NA,NA,1/20/2004,,,
293,Q. Icacos,4043,"Jan.20, 2004",1.0117,0.1068,1.1185,1.1206,1.1195,0.1078,2.1,1,1000,1,2.1,1,NA,NA,NA,NA,1/20/2004,,,
294,RES4,4044,"Jan.20, 2004",1.0117,0.1066,1.1183,1.1184,1.118,0.1063,0.1,-0.3,750,0.75,0.133333333,-0.4,NA,NA,NA,NA,1/20/2004,,,
295,RCEV,4045,"Jan.20, 2004",1.0079,0.1067,1.1146,1.1145,1.1139,0.106,-0.1,-0.7,90,0.09,-1.111111111,-7.777777778,NA,NA,NA,NA,1/20/2004,,,
296,WDEV,4046,"Jan.20, 2004",1.0122,0.1078,1.12,1.1194,1.119,0.1068,-0.6,-1,70,0.07,-8.571428571,-14.28571429,NA,NA,NA,NA,1/20/2004,,,
297,Blank,4047,"Jan.27, 2004",1.0134,0.1064,1.1198,1.1193,1.119,0.1056,-0.5,-0.8,500,0.5,-1,-1.6,NA,NA,NA,NA,1/27/2004,,,
298,MQ1,4048,"Jan.27, 2004",1.0127,0.107,1.1197,1.1269,1.1253,0.1126,7.2,5.6,700,0.7,10.28571429,8,NA,NA,NA,NA,1/27/2004,,,
299,MQ2,4049,"Jan.27, 2004",1.0187,0.1067,1.1254,1.1377,1.1356,0.1169,12.3,10.2,750,0.75,16.4,13.6,NA,NA,NA,NA,1/27/2004,,,
